,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,masterid,huc,smcshed,smc_lu,latitude,longitude,SiteDate,Year,OCresult,OrgNorm,Class,LEB,TEB,Assessment,PyrQuotientLEB,PyrQuotientTEB,RLOC,RLEvalLEB,RLEvalTEB
789,"Permethrin, cis-",901S39498_2010,901S39498,122076,5/18/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000771,0.001542,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,901S39498,901,San Juan,Urban,33.49038,-117.66532,901S39498_2010-05-18,2010,0.0478,0,NA,NA,NA,NA,NA,NA,0.032259414,,
790,"Permethrin, cis-",404S17016_2013,404S17016,66758,6/5/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000378,0.000976,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S17016,404,Santa Monica Bay,Open,34.1183,-118.78057,404S17016_2013-06-05,2013,0.0174,0,NA,NA,NA,NA,NA,NA,0.056091954,,
791,"Permethrin, cis-",404S35270_2012,404S35270,104418,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.022,=,0.00108,0.00278,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35270,404,Santa Monica Bay,Urban,34.13325,-118.70656,404S35270_2012-06-20,2012,0.0378,0.582010582,NA,NA,NA,NA,NA,NA,0.073544974,,
792,"Permethrin, cis-",404S26868_2012,404S26868,67176,6/26/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000623,0.00161,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S26868,404,Santa Monica Bay,Urban,34.09675,-118.71737,404S26868_2012-06-26,2012,0.0089,0,NA,NA,NA,NA,NA,NA,0.180898876,,
793,"Permethrin, cis-",404S27470_2012,404S27470,67214,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000862,0.00223,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S27470,404,Santa Monica Bay,Urban,34.17445,-118.76389,404S27470_2012-06-19,2012,0.0455,0,NA,NA,NA,NA,NA,NA,0.049010989,,
794,"Permethrin, cis-",404S23297_2013,404S23297,103874,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000677,0.00175,1,PG,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S23297,404,Santa Monica Bay,Open,34.05006,-118.58103,404S23297_2013-06-19,2013,0.01,0,NA,NA,NA,NA,NA,NA,0.175,,
795,"Permethrin, cis-",404S16232_2011,404S16232,103595,6/9/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000935,0.00187,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S16232,404,Santa Monica Bay,Urban,34.12549,-118.75317,404S16232_2011-06-09,2011,0.0039,0,NA,NA,NA,NA,NA,NA,0.479487179,,
796,"Permethrin, cis-",404S45745_2013,404S45745,104841,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00128,0.0033,1,PG,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S45745,404,Santa Monica Bay,Open,34.05902,-118.9339,404S45745_2013-06-18,2013,0.1201,0,NA,NA,NA,NA,NA,NA,0.027477102,,
797,"Permethrin, cis-",404S48200_2013,404S48200,104893,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.0016,0.00414,1,PG,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S48200,404,Santa Monica Bay,Open,34.07772,-118.92395,404S48200_2013-06-18,2013,0.1368,0,NA,NA,NA,NA,NA,NA,0.030263158,,
798,"Permethrin, cis-",903S06113_2012,903S06113,85453,6/30/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00075,0.00194,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,903S06113,903,Northern San Diego,Open,33.2645,-116.8131,903S06113_2012-06-30,2012,0.0231,0,NA,NA,NA,NA,NA,NA,0.083982684,,
799,"Permethrin, cis-",904S01814_2010,904S01814,85688,6/15/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000611,0.001221,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S01814,904,Central San Diego,Urban,33.02292,-117.2273,904S01814_2010-06-15,2010,0.0215,0,NA,NA,NA,NA,NA,NA,0.056790698,,
800,"Permethrin, cis-",907S11430_2012,907S11430,123783,7/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0043,=,0.000688,0.00178,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,907S11430,907,Mission Bay and San Diego River,Urban,32.848374,-116.860048,907S11430_2012-07-18,2012,0.0177,0.242937853,NA,NA,NA,NA,NA,NA,0.100564972,,
801,"Permethrin, cis-",404S34230_2013,404S34230,104377,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00169,0.00437,1,PG,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S34230,404,Santa Monica Bay,Open,34.06909,-118.58678,404S34230_2013-06-19,2013,0.0843,0,NA,NA,NA,NA,NA,NA,0.051838671,,
802,"Permethrin, cis-",904CBSAM5_2010,904S02585,85812,5/19/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000997,0.001993,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904CBSAM5,904,Central San Diego,Urban,33.09086,-117.2447,904CBSAM5_2010-05-19,2010,0.07,0,NA,NA,NA,NA,NA,NA,0.028471429,,
803,"Permethrin, cis-",906S02902_2011,906S02902,123349,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00201,DNQ,0.00084,0.00217,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,906S02902,906,Central San Diego,Urban,32.949075,-117.064432,906S02902_2011-08-03,2011,0.0881,0.022814983,NA,NA,NA,NA,NA,NA,0.024631101,,
804,"Permethrin, cis-",404S37670_2013,404S37670,67703,6/6/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000358,0.000925,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S37670,404,Santa Monica Bay,Urban,34.14074,-118.70117,404S37670_2013-06-06,2013,0.0036,0,NA,NA,NA,NA,NA,NA,0.256944444,,
805,"Permethrin, cis-",404S35418_2012,404S35418,67641,6/25/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00066,0.00171,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35418,404,Santa Monica Bay,Open,34.08262,-118.70857,404S35418_2012-06-25,2012,0.01,0,NA,NA,NA,NA,NA,NA,0.171,,
806,"Permethrin, cis-",909S14218_2012,909S14218,86777,7/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00129,0.00333,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,909S14218,909,Southern San Diego,Urban,32.829985,-116.736039,909S14218_2012-07-18,2012,0.0485,0,NA,NA,NA,NA,NA,NA,0.068659794,,
807,"Permethrin, cis-",904S12185_2011,904S12185,85917,5/24/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.0011,0.00219,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,904S12185,904,Central San Diego,Agricultural,33.09918,-117.13013,904S12185_2011-05-24,2011,0.007,0,NA,NA,NA,NA,NA,NA,0.312857143,,
808,"Permethrin, cis-",907S05514_2011,907S05514,123748,5/18/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00113,0.00225,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,907S05514,907,Mission Bay and San Diego River,Open,32.97974,-116.74246,907S05514_2011-05-18,2011,0.0094,0,NA,NA,NA,NA,NA,NA,0.239361702,,
809,"Permethrin, cis-",903S02145_2011,903S02145,122525,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000612,0.00158,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,903S02145,903,Northern San Diego,Agricultural,33.269344,-117.031468,903S02145_2011-08-03,2011,0.0012,0,NA,NA,NA,NA,NA,NA,1.316666667,,
810,"Permethrin, cis-",901S11685_2012,901S11685,121939,5/31/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0162,=,0.00131,0.00339,1,"H,PJM",NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,901S11685,901,San Juan,Urban,33.5099,-117.6348,901S11685_2012-05-31,2012,0.0172,0.941860465,NA,NA,NA,NA,NA,NA,0.197093023,,
811,"Permethrin, cis-",901S45253_2010,901S45253,122129,5/18/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000704,0.001408,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,901S45253,901,San Juan,Urban,33.51442,-117.62613,901S45253_2010-05-18,2010,0.0345,0,NA,NA,NA,NA,NA,NA,0.040811594,,
812,"Permethrin, cis-",905S15201_2012,905S15201,86080,6/30/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00126,0.00325,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,905S15201,905,Central San Diego,Open,33.11778,-116.85444,905S15201_2012-06-30,2012,0.0123,0,NA,NA,NA,NA,NA,NA,0.264227642,,
813,"Permethrin, total",SMC00766_2011,SMC00766,20108,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0048,0.0048,1,None,,WKL,NA,SMC,6/11/2018 15:25,TRUE,SMC00766,801,Lower Santa Ana,Urban,33.65718,-117.83739,SMC00766_2011-07-11,2011,0.012,0,NA,NA,NA,NA,NA,NA,0.4,,
814,"Permethrin, total",801M12649_2013,SMC14211,31089,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,801M12649,801,Lower Santa Ana,Urban,33.6894,-117.82174,801M12649_2013-06-04,2013,0.00235,0,NA,NA,NA,NA,NA,NA,1.446808511,,
815,"Permethrin, total",SMC09091_2013,SMC09091,31720,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0036,0.0036,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09091,801,Lower Santa Ana,Urban,33.71335,-117.79574,SMC09091_2013-06-27,2013,0.00505,0,NA,NA,NA,NA,NA,NA,0.712871287,,
816,"Permethrin, total",801S03971_2011,SMC03971,20123,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S03971,801,Lower Santa Ana,Urban,33.67551,-117.82775,801S03971_2011-07-11,2011,0.02,0,NA,NA,NA,NA,NA,NA,0.2,,
817,"Permethrin, total",SMC13187_2013,SMC13187,31077,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0032,0.0032,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13187,801,Lower Santa Ana,Urban,33.67808,-117.80245,SMC13187_2013-06-04,2013,0.00065,0,NA,NA,NA,NA,NA,NA,4.923076923,,
818,"Permethrin, total",SMC13214_2013,SMC13214,30747,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13214,801,Lower Santa Ana,Urban,33.80453,-117.87242,SMC13214_2013-05-22,2013,0.00379,0,NA,NA,NA,NA,NA,NA,1.055408971,,
819,"Permethrin, total",801S02947_2011,SMC02947,20078,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S02947,801,Lower Santa Ana,Urban,33.69919,-117.81143,801S02947_2011-07-12,2011,0.0094,0,NA,NA,NA,NA,NA,NA,0.521276596,,
820,"Permethrin, total",SMC09118_2013,SMC09118,30735,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09118,801,Lower Santa Ana,Urban,33.80876,-117.86259,SMC09118_2013-05-22,2013,0.00474,0,NA,NA,NA,NA,NA,NA,0.801687764,,
821,"Permethrin, total",SMC14099_2013,SMC14099,31461,6/13/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC14099,801,Lower Santa Ana,Urban,33.62772,-117.73558,SMC14099_2013-06-13,2013,0.00112,0,NA,NA,NA,NA,NA,NA,3.125,,
822,"Permethrin, total",902M18909_2019,902M18909,127021,5/9/2019,grab,sediment,1,1,Pyrethroid Pesticides by GC/MS/MS,Total,ug/g dw,-88,ND,0.0012,0.0024,1,None,,CalScience,SMC_Carlsbad_WMA_2019,SMC,9/18/2019 15:36,FALSE,902M18909,902,Northern San Diego,SMC_out,33.46607,-117.19794,902M18909_2019-05-09,2019,0.019,0,NA,NA,NA,NA,NA,NA,0.126315789,,
823,"Permethrin, total",SMC01923_2011,SMC01923,20063,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC01923,801,Lower Santa Ana,Urban,33.67221,-117.78872,SMC01923_2011-07-12,2011,0.0015,0,NA,NA,NA,NA,NA,NA,2.333333333,,
824,"Permethrin, total",SMC02206_2011,SMC02206,20093,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,0.0045,NA,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC02206,801,Lower Santa Ana,Urban,33.87098,-117.85002,SMC02206_2011-07-19,2011,0.0033,1.363636364,NA,NA,NA,NA,NA,NA,1.242424242,,
825,"Permethrin, trans-",404S11880_2011,404S11880,66444,6/7/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00206,0.00411,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S11880,404,Santa Monica Bay,Urban,34.12529,-118.70827,404S11880_2011-06-07,2011,0.0214,0,NA,NA,NA,NA,NA,NA,0.192056075,,
826,"Permethrin, trans-",404S45745_2013,404S45745,104842,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00211,0.0066,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S45745,404,Santa Monica Bay,Open,34.05902,-118.9339,404S45745_2013-06-18,2013,0.1201,0,NA,NA,NA,NA,NA,NA,0.054954205,,
827,"Permethrin, trans-",404S28270_2012,404S28270,67302,6/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00126,0.00395,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S28270,404,Santa Monica Bay,Urban,34.13663,-118.75725,404S28270_2012-06-18,2012,0.0303,0,NA,NA,NA,NA,NA,NA,0.130363036,,
828,"Permethrin, trans-",404S13416_2011,404S13416,103438,6/8/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00166,0.00332,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S13416,404,Santa Monica Bay,Urban,34.09875,-118.71594,404S13416_2011-06-08,2011,0.0074,0,NA,NA,NA,NA,NA,NA,0.448648649,,
829,"Permethrin, trans-",403S16332_2013,403S16332,62522,6/26/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00102,0.0032,1,PJM,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16332,403,Santa Clara,Open,34.5317,-118.75812,403S16332_2013-06-26,2013,0.0446,0,NA,NA,NA,NA,NA,NA,0.071748879,,
830,"Permethrin, trans-",404S14952_2011,404S14952,66617,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.0031,0.00621,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S14952,404,Santa Monica Bay,Urban,34.14268,-118.70089,404S14952_2011-06-15,2011,0.0618,0,NA,NA,NA,NA,NA,NA,0.100485437,,
831,"Permethrin, trans-",403S01136_2011,403S01136,98541,6/13/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0162,=,0.00194,0.00389,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S01136,403,Santa Clara,Open,34.62762,-118.74403,403S01136_2011-06-13,2011,0.0093,1.741935484,NA,NA,NA,NA,NA,NA,0.41827957,,
832,"Permethrin, trans-",403S01536_2011,403S01536,61674,7/12/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00169,0.00337,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S01536,403,Santa Clara,Open,34.56909,-118.39212,403S01536_2011-07-12,2011,0.0124,0,NA,NA,NA,NA,NA,NA,0.271774194,,
833,"Permethrin, trans-",403S16493_2013,403S16493,99600,6/24/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00096,0.00301,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16493,403,Santa Clara,Open,34.6867,-118.84546,403S16493_2013-06-24,2013,0.0077,0,NA,NA,NA,NA,NA,NA,0.390909091,,
834,"Permethrin, trans-",404S34230_2013,404S34230,67542,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.0028,0.00874,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S34230,404,Santa Monica Bay,Open,34.06909,-118.58678,404S34230_2013-06-19,2013,0.0843,0,NA,NA,NA,NA,NA,NA,0.103677343,,
835,"Permethrin, trans-",403S01728_2011,403S01728,61756,7/13/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00187,0.00374,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S01728,403,Santa Clara,Open,34.5749,-118.46002,403S01728_2011-07-13,2011,0.0086,0,NA,NA,NA,NA,NA,NA,0.434883721,,
836,"Permethrin, trans-",403S16978_2013,403S16978,62633,6/26/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00156,0.00487,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16978,403,Santa Clara,Open,34.42319,-118.76771,403S16978_2013-06-26,2013,0.0286,0,NA,NA,NA,NA,NA,NA,0.17027972,,
837,"Permethrin, trans-",404S17016_2013,404S17016,103668,6/5/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000625,0.00195,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S17016,404,Santa Monica Bay,Open,34.1183,-118.78057,404S17016_2013-06-05,2013,0.0174,0,NA,NA,NA,NA,NA,NA,0.112068966,,
838,"Permethrin, trans-",403S02363_2011,403S02363,61864,6/16/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00157,0.00314,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S02363,403,Santa Clara,Open,34.55885,-119.15456,403S02363_2011-06-16,2011,0.0058,0,NA,NA,NA,NA,NA,NA,0.54137931,,
839,"Permethrin, trans-",404S18666_2011,404S18666,66882,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00157,0.00313,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S18666,404,Santa Monica Bay,Urban,34.17206,-118.76375,404S18666_2011-06-15,2011,0.004,0,NA,NA,NA,NA,NA,NA,0.7825,,
840,"Permethrin, trans-",403S02764_2011,403S02764,98888,6/14/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00169,0.00338,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S02764,403,Santa Clara,Open,34.44778,-118.7549,403S02764_2011-06-14,2011,0.0077,0,NA,NA,NA,NA,NA,NA,0.438961039,,
841,"Permethrin, trans-",403S18093_2013,403S18093,62719,6/24/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00164,0.00513,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S18093,403,Santa Clara,Open,34.69441,-118.85658,403S18093_2013-06-24,2013,0.0094,0,NA,NA,NA,NA,NA,NA,0.545744681,,
842,"Permethrin, trans-",403S04868_2011,403S04868,62052,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00168,0.00336,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S04868,403,Santa Clara,Agricultural,34.40491,-118.93943,403S04868_2011-06-15,2011,0.0101,0,NA,NA,NA,NA,NA,NA,0.332673267,,
843,"Permethrin, trans-",906S02902_2011,906S02902,123350,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00195,DNQ,0.00139,0.00434,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,906S02902,906,Central San Diego,Urban,32.949075,-117.064432,906S02902_2011-08-03,2011,0.0881,0.022133939,NA,NA,NA,NA,NA,NA,0.049262202,,
844,"Permethrin, trans-",404S37670_2013,404S37670,104543,6/6/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000592,0.00185,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S37670,404,Santa Monica Bay,Urban,34.14074,-118.70117,404S37670_2013-06-06,2013,0.0036,0,NA,NA,NA,NA,NA,NA,0.513888889,,
845,"Permethrin, trans-",403S07024_2012,403S07024,99391,6/13/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00135,0.00423,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S07024,403,Santa Clara,Open,34.6092,-118.75771,403S07024_2012-06-13,2012,0.0576,0,NA,NA,NA,NA,NA,NA,0.0734375,,
846,"Permethrin, trans-",403S34646_2013,403S34646,62782,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0747,DNQ,0.0364,0.114,20,"BLM,D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S34646,403,Santa Clara,Agricultural,34.42556,-118.56616,403S34646_2013-06-25,2013,0.0923,0.809317443,NA,NA,NA,NA,NA,NA,1.235102925,,
847,"Permethrin, trans-",403S06139_2012,403S06139,62144,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00108,0.00339,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06139,403,Santa Clara,Open,34.55464,-119.2405,403S06139_2012-06-27,2012,0.0155,0,NA,NA,NA,NA,NA,NA,0.218709677,,
848,"Permethrin, trans-",403S39062_2013,403S39062,99851,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0932,=,0.00141,0.0044,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S39062,403,Santa Clara,Agricultural,34.4323,-118.61744,403S39062_2013-06-25,2013,0.0083,11.22891566,NA,NA,NA,NA,NA,NA,0.530120482,,
849,"Permethrin, trans-",403S06283_2012,403S06283,62186,6/13/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.0018,0.00563,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06283,403,Santa Clara,Open,34.69386,-118.86079,403S06283_2012-06-13,2012,0.0159,0,NA,NA,NA,NA,NA,NA,0.35408805,,
850,"Permethrin, trans-",404S13672_2011,404S13672,66564,6/8/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00174,0.00347,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S13672,404,Santa Monica Bay,Open,34.0754,-118.70292,404S13672_2011-06-08,2011,0.005,0,NA,NA,NA,NA,NA,NA,0.694,,
851,"Permethrin, trans-",403S06315_2012,403S06315,62224,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00102,0.00317,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06315,403,Santa Clara,Open,34.59223,-119.31033,403S06315_2012-06-27,2012,0.0411,0,NA,NA,NA,NA,NA,NA,0.077128954,,
852,"Permethrin, trans-",404S27470_2012,404S27470,104116,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00143,0.00446,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S27470,404,Santa Monica Bay,Urban,34.17445,-118.76389,404S27470_2012-06-19,2012,0.0455,0,NA,NA,NA,NA,NA,NA,0.098021978,,
